DATE,Day,Month,Year,Quarter,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,No Of TRADES
2-Jan-26,Friday,January,2026,Q1,749.95,758.35,749.05,750.10,753.20,754.85,755.21,820.75,584.30,1457089,35885
1-Jan-26,Thursday,January,2026,Q1,750.00,753.40,746.90,749.85,750.85,750.10,749.68,820.75,584.30,820228,23640
31-Dec-25,Wednesday,December,2025,Q4,747.85,752.00,744.20,743.00,749.05,749.85,749.10,820.75,584.30,2503615,45656
30-Dec-25,Tuesday,December,2025,Q4,746.45,751.00,735.75,746.45,746.15,743.00,741.71,820.75,584.30,13786783,114900
29-Dec-25,Monday,December,2025,Q4,748.00,751.45,742.20,748.45,746.75,746.45,745.63,820.75,584.30,2912215,47721
26-Dec-25,Friday,December,2025,Q4,753.00,755.00,745.65,755.35,748.10,748.45,749.37,820.75,584.30,1655497,33677
24-Dec-25,Wednesday,December,2025,Q4,763.90,767.95,754.65,763.95,755.80,755.35,760.13,820.75,584.30,1132272,35705
23-Dec-25,Tuesday,December,2025,Q4,759.95,765.00,757.80,761.80,763.00,763.95,761.66,820.75,584.30,1246811,33058
22-Dec-25,Monday,December,2025,Q4,766.00,769.05,759.95,766.45,761.00,761.80,762.92,820.75,584.30,767829,39170
19-Dec-25,Friday,December,2025,Q4,753.10,773.85,753.10,757.00,766.30,766.45,764.39,820.75,584.30,3098157,49102
18-Dec-25,Thursday,December,2025,Q4,755.05,758.30,749.10,753.50,757.95,757.00,754.61,820.75,584.30,731537,33537
17-Dec-25,Wednesday,December,2025,Q4,764.35,764.35,749.00,764.35,752.95,753.50,755.02,820.75,584.30,1809434,61528
16-Dec-25,Tuesday,December,2025,Q4,772.90,782.20,762.15,772.70,763.40,764.35,775.59,820.75,584.30,2125078,45749
15-Dec-25,Monday,December,2025,Q4,772.50,775.50,766.50,777.50,772.05,772.70,770.52,820.75,584.30,1510988,40580
12-Dec-25,Friday,December,2025,Q4,779.10,779.85,770.05,775.20,778.95,777.50,775.16,820.75,584.30,1290971,31581
11-Dec-25,Thursday,December,2025,Q4,771.05,777.15,763.05,771.05,775.00,775.20,772.30,820.75,584.30,2133427,57876
10-Dec-25,Wednesday,December,2025,Q4,759.00,775.90,759.00,762.90,771.00,771.05,771.12,820.75,584.30,1667376,96667
9-Dec-25,Tuesday,December,2025,Q4,763.90,765.30,753.50,764.05,762.80,762.90,758.99,820.75,584.30,1965538,59989
8-Dec-25,Monday,December,2025,Q4,768.00,779.90,762.00,768.30,762.30,764.05,773.75,820.75,584.30,3775906,104082
5-Dec-25,Friday,December,2025,Q4,757.20,772.00,755.20,760.80,769.00,768.30,764.62,820.75,584.30,1693258,48547
4-Dec-25,Thursday,December,2025,Q4,755.00,766.00,745.20,751.95,763.15,760.80,754.21,820.75,584.30,2649259,90201
3-Dec-25,Wednesday,December,2025,Q4,755.30,758.90,746.00,759.00,752.25,751.95,750.71,820.75,584.30,2877041,68270
2-Dec-25,Tuesday,December,2025,Q4,762.00,766.40,753.95,766.75,760.00,759.00,758.06,820.75,584.30,2054726,47811
1-Dec-25,Monday,December,2025,Q4,765.00,768.25,758.10,764.30,765.00,766.75,764.03,820.75,584.30,908996,46249
28-Nov-25,Friday,November,2025,Q4,780.40,780.40,761.45,777.80,767.20,764.30,767.23,820.75,584.30,2441514,83728
27-Nov-25,Thursday,November,2025,Q4,787.55,787.80,775.85,787.55,777.70,777.80,779.31,820.75,584.30,1165637,70216
26-Nov-25,Wednesday,November,2025,Q4,763.60,788.50,762.75,766.55,788.00,787.55,782.84,820.75,584.30,3006211,107893
25-Nov-25,Tuesday,November,2025,Q4,763.85,770.45,757.65,761.65,765.60,766.55,764.30,820.75,584.30,1858955,67925
24-Nov-25,Monday,November,2025,Q4,765.50,766.00,759.65,764.00,761.85,761.65,762.20,820.75,584.30,5837946,72994
21-Nov-25,Friday,November,2025,Q4,760.00,766.20,758.60,762.20,762.80,764.00,763.41,820.75,584.30,2712721,41267
20-Nov-25,Thursday,November,2025,Q4,760.70,765.15,750.10,761.10,765.00,762.20,757.99,820.75,584.30,2612081,61175
19-Nov-25,Wednesday,November,2025,Q4,760.60,762.00,755.65,761.80,761.60,761.10,759.27,820.75,584.30,950947,40941
18-Nov-25,Tuesday,November,2025,Q4,766.45,769.10,760.55,770.25,760.60,761.80,763.63,820.75,584.30,1363326,48086
17-Nov-25,Monday,November,2025,Q4,770.70,778.00,765.10,773.70,768.30,770.25,769.20,820.75,584.30,2639170,90112
14-Nov-25,Friday,November,2025,Q4,779.00,780.30,769.50,782.20,772.30,773.70,773.20,820.75,584.30,1373199,103296
13-Nov-25,Thursday,November,2025,Q4,782.90,786.50,778.30,783.10,782.95,782.20,782.44,820.75,584.30,2068084,72445
12-Nov-25,Wednesday,November,2025,Q4,765.00,786.00,764.45,763.90,782.90,783.10,778.56,820.75,584.30,3996339,112588
11-Nov-25,Tuesday,November,2025,Q4,754.40,765.00,747.35,750.70,764.35,763.90,759.26,820.75,584.30,2303525,54279
10-Nov-25,Monday,November,2025,Q4,750.00,759.80,749.20,749.25,750.00,750.70,755.02,820.75,584.30,2046515,54498
